,title,link,address,rent,rooms,bathrooms,residents,start_date,furnished,悉尼大学步行距离,新南威尔士大学Paddington校区步行距离,西悉尼大学Campbelltown分校步行距离,新南威尔士大学步行距离,麦考瑞大学步行距离,悉尼科技大学步行距离,泰勒学院步行距离,拉筹伯大学悉尼校区步行距离,泰勒语言学校步行距离,悉尼电影学院步行距离,西悉尼大学Parramatta分校步行距离,西悉尼大学步行距离,悉尼大学坐车距离,新南威尔士大学Paddington校区坐车距离,新南威尔士大学坐车距离,麦考瑞大学坐车距离,悉尼科技大学坐车距离,泰勒学院坐车距离,泰勒语言学校坐车距离,悉尼电影学院坐车距离,西悉尼大学Parramatta分校坐车距离,西悉尼大学坐车距离,WIFI,厨房,游泳池,餐馆,火车站,冰箱,公园,公交站,电梯,空调,阳台,健身房,包bill,洗衣机,电视,超市,收起,近city
44,近Town Hall车站 次卧出租 包bill 室友女生， 长租到假期,https://www.awehome.com/au/sydney/detail-apartments-25128,"188 Day Street, Sydney New South Wales 2000, Australia",350,4,2,6,2020-10-23,1,2823.0,,,,,1408.0,,,,,,,3691.0,,,,1359.0,,,,,,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
45,mascot 全新大空间 三方两卫入墙大衣柜 随时入住,https://www.awehome.com/au/sydney/detail-apartments-24668,"111 High Street, Mascot New South Wales 2020, Australia",850,3,2,6,2020-10-23,0,,,,,,6687.0,4254.0,,,,,,,,,,6452.0,3869.0,,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
46,毗邻悉尼情人港 一室一厅加阳台 交通方便 温馨绝美,https://www.awehome.com/au/sydney/detail-apartments-24905,"27 King Street, Sydney New South Wales 2000, Australia",500,1,1,1,2020-10-23,1,3422.0,,,,,,,,,,,,4902.0,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
47,Ultimo单间转租，近UTS，近CITY 设施齐全 随时入住,https://www.awehome.com/au/sydney/detail-apartments-25271,"17-19 Macarthur Street, Ultimo New South Wales 2007, Australia",260,1,1,2,2020-10-23,1,1441.0,,,,,652.0,,,,,,,2369.0,,,,887.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
48,Ultimo一房一卫 近uts、usyd 限时特价出租,https://www.awehome.com/au/sydney/detail-apartments-25241,"288 Wattle Street, Ultimo New South Wales 2007, Australia",480,1,1,2,2020-10-23,0,1592.0,,,,,777.0,,,,,,,2520.0,,,,965.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
49,近UTS Daling North 34层一房一厅一卫，超广VIew 随时可住,https://www.awehome.com/au/sydney/detail-apartments-25118,"81 Harbour Street, Haymarket New South Wales 2000, Australia",650,2,2,4,2020-10-23,0,2309.0,,,,,1065.0,,,,,,,3373.0,,,,1040.0,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
50,随时入住 Ultimo新白楼两室主卧 超低价转租,https://www.awehome.com/au/sydney/detail-apartments-26937,"69 Jones Street, Ultimo New South Wales 2007, Australia",330,2,2,4,2020-10-23,1,1649.0,,,,,882.0,,,,,,,3225.0,,,,892.0,,,,,,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
51,Zetland 全新一室一厅 公寓超低价格,https://www.awehome.com/au/sydney/detail-apartments-25182,"9 Rose Valley Way, Zetland New South Wales 2017, Australia",550,1,1,1,2020-10-23,0,4033.0,,,,,3922.0,1340.0,,,,,,4934.0,,,,4258.0,1382.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
52,Central Park一室一厅招租 带家具,https://www.awehome.com/au/sydney/detail-apartments-26869,"8 Park Lane, Chippendale New South Wales 2008, Australia",595,1,1,2,2020-10-23,1,1458.0,,,5833.0,,421.0,,,,,,,2220.0,,5891.0,,661.0,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
53,ultimo 大空间一房一厅 超低价格 位置绝佳 可住多人,https://www.awehome.com/au/sydney/detail-apartments-25190,"444 Harris Street, Ultimo New South Wales 2007, Australia",480,1,1,2,2020-10-23,0,2083.0,,,,,964.0,,,,,,,3102.0,,,,769.0,,,,,,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
